obs_date_time,JD,airmass,target_name,target_flux_red,flux_green,flux_blue,blue_over_red,comp_name,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2025-04-06 02:08:19.777,2460771.589117789,1.66407,XO-6,992125.5331679279,934123.9778511348,1564834.8822638546,1.5772549238474136,TYC 4357-177-1,350574.31144252577,285069.36699799204,531657.0237396765,1.5165316065288428
2025-04-06 02:09:03.986,2460771.5896294676,1.665726,XO-6,957919.3961929756,905428.1243579471,1513869.232945589,1.580372251529831,TYC 4357-177-1,345000.04625403584,278292.9279490834,505267.349749709,1.464542846402005
2025-04-06 02:10:07.581,2460771.5903655207,1.668207,XO-6,1007905.2952568395,948311.8382263624,1574825.0935682412,1.5624732809513977,TYC 4357-177-1,271638.54162624717,293069.5245676302,523687.0794250538,1.9278820902580356
2025-04-06 02:10:51.589,2460771.5908748726,1.669903,XO-6,995456.9796455085,953850.3662379389,1609670.4444208161,1.6170165836739976,TYC 4357-177-1,270735.35014377144,283628.5944318934,529332.4252204902,1.9551655332020486
2025-04-06 02:11:35.697,2460771.5913853818,1.671625,XO-6,1003352.8968039103,938696.5064141166,1572747.8653141127,1.567492225640608,TYC 4357-177-1,263826.7483243579,283144.3236350914,553534.3611659742,2.098097955122577
2025-04-06 02:12:19.739,2460771.591895127,1.673365,XO-6,996976.9680998403,950287.0322279291,1622618.6887748423,1.6275387904571414,TYC 4357-177-1,281199.1223356923,289608.9625033937,559633.0787329173,1.9901665200250298
2025-04-06 02:13:03.471,2460771.5924012847,1.675084,XO-6,1054170.0094445434,1001014.416097321,1599046.356582031,1.5168771092478626,TYC 4357-177-1,305548.01924158674,291625.58804679237,566619.7803824292,1.8544377469337208
2025-04-06 02:13:47.299,2460771.5929085533,1.676449,XO-6,788846.9787309406,743050.6101587178,1280690.7833723282,1.6234971013423192,TYC 4357-177-1,212366.97786051943,232357.03083464172,489926.25027708255,2.306979433492063
2025-04-06 02:14:31.279,2460771.593417581,1.677825,XO-6,908323.8058382913,875443.4545673341,1451641.8472957767,1.5981545765566032,TYC 4357-177-1,238892.14905764928,264321.2570090487,499214.1048043146,2.089704943312493
2025-04-06 02:15:15.308,2460771.5939271757,1.679658,XO-6,1016879.8899038922,968855.8391878342,1608329.1106488514,1.5816313476322739,TYC 4357-177-1,335075.403837859,289440.27450403443,544217.6123578543,1.624164609292534
2025-04-06 02:15:59.153,2460771.5944346413,1.681473,XO-6,1012880.2151273348,969041.9134258005,1562709.502195843,1.542837424264809,TYC 4357-177-1,287541.4207562862,297877.5467223243,551477.0209603688,1.9179046257401247
2025-04-06 02:16:43.146,2460771.5949438196,1.683278,XO-6,1031164.7277921322,980532.1051924484,1588092.3634694084,1.540095700198877,TYC 4357-177-1,276964.12913369684,312360.3588964623,564320.9542940407,2.0375236174415576
2025-04-06 02:18:01.579,2460771.595851609,1.686902,XO-6,3037954.0769854956,2480951.3950363914,1196716.5650343103,0.39392187462615946,TYC 4357-177-1,2176547.2484518522,2620916.1234683977,2586177.221500022,1.1882017371042755
2025-04-06 02:18:43.864,2460771.5963410186,1.6887,XO-6,1014942.5398834483,977799.9706619113,1589092.5355296135,1.5656970449894614,TYC 4357-177-1,297167.2949320576,332265.6738711334,554838.6641546015,1.8670919499450847
2025-04-06 02:19:27.854,2460771.596850162,1.690455,XO-6,1021501.7026571275,966389.690442674,1542714.3124580095,1.5102415477576836,TYC 4357-177-1,354116.4443238387,356737.96857411606,543736.0635990207,1.5354725043544584
2025-04-06 02:20:11.687,2460771.5973574882,1.692265,XO-6,1005596.7514766052,936214.410119798,1535128.9593151342,1.526585042225893,TYC 4357-177-1,273423.2818697815,288663.9130716569,541968.0821698977,1.9821577682181848
2025-04-06 02:20:55.663,2460771.59786647,1.69406,XO-6,963680.4386998197,905758.3242465104,1524688.640436809,1.5821516959438249,TYC 4357-177-1,265239.7631754801,280706.6925760459,493019.2104255739,1.858768099183519
2025-04-06 02:21:39.643,2460771.598375498,1.695942,XO-6,979459.2015289493,940718.1741167452,1529965.8356294425,1.562051623223453,TYC 4357-177-1,281239.8968977405,292418.9531670166,511226.36389907805,1.8177590361048994
2025-04-06 02:26:01.914,2460771.601411042,1.707027,XO-6,843972.6567512831,799472.0937989756,1343443.2293974664,1.5918089509781075,TYC 4357-177-1,227049.4731112247,249916.37064053412,450389.8072538756,1.9836637411320623
2025-04-06 02:27:31.376,2460771.6024464816,1.710852,XO-6,835155.6764412825,797770.4594172632,1316734.7941491054,1.5766339513609011,TYC 4357-177-1,231990.50212256855,238654.50359314485,413872.95691756357,1.7840081948652375
2025-04-06 02:28:12.621,2460771.6029238543,1.712726,XO-6,1003708.190246357,937507.0575279959,1553512.8992830017,1.5477734608319744,TYC 4357-177-1,280002.01918703155,285229.7337709018,539230.785027953,1.9258103444881434
2025-04-06 02:28:56.477,2460771.603431447,1.714643,XO-6,996808.0608403661,920884.7288479448,1550078.7700678115,1.5550423707057572,TYC 4357-177-1,287460.6622168993,284468.9985124649,516307.0368032499,1.7960963173934315
2025-04-06 02:29:40.416,2460771.60394,1.716531,XO-6,949907.8631409403,900309.3942724968,1520631.871457427,1.6008203852838376,TYC 4357-177-1,267013.8919203107,276891.1736211012,518661.43150896236,1.9424511128572852
2025-04-06 02:30:24.161,2460771.6044463078,1.718455,XO-6,927822.6885272344,865738.7332086597,1444104.6517369384,1.5564446414101132,TYC 4357-177-1,250635.49013613263,278022.96589023917,502677.91513837874,2.0056134702445743
