obs_date_time,JD,target_flux_red,flux_green,flux_blue,blue_over_red,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2025-02-07 03:39:53.060,2460713.6526974537,1115766.1202341388,972813.2169532753,1909798.3376692021,1.71164754246924,839260.2128278891,538658.7929105025,1036877.4142918955,1.2354659477995922
2025-02-07 03:40:58.094,2460713.653450162,926856.2182666231,961554.0626840323,1938465.208905809,2.0914411218290847,524510.0543307181,497699.9653421297,1010920.3199535396,1.927361185179734
2025-02-07 03:42:03.056,2460713.654202037,1174444.0581137645,963410.5911087017,1908611.8915139097,1.6251194582901358,924713.8733649291,505534.3830205116,982393.1132194014,1.0623752292637116
2025-02-07 03:43:08.100,2460713.654954861,903561.8705540253,984688.8478850181,1871318.6495990066,2.071046500060471,769096.6424788985,506258.92545033037,1038668.1565957222,1.3505040839184521
2025-02-07 03:44:13.044,2460713.6557065276,890944.8828639418,944396.4626619177,1964366.6547690488,2.2048127696234063,1265058.6295992944,503308.29922752146,1019172.4941728171,0.8056326168026209
2025-02-07 03:45:18.093,2460713.6564594097,844007.1163035311,977507.5794459982,1897623.1362688139,2.248349687594778,525752.3422250333,541099.5203184217,989387.1327736148,1.8818501665374148
2025-02-07 03:46:23.028,2460713.657210972,910141.0534074842,900616.8265825956,1921221.9026028349,2.1109056617212874,808268.4078235552,500738.9692195466,1050732.2151174054,1.2999793199226215
2025-02-07 03:47:28.084,2460713.6579639353,1045132.3727083064,998096.3609037015,1925242.7760472281,1.842104240880268,948452.1178367011,491460.05598123185,1040090.9358811262,1.0966193404190414
2025-02-07 03:48:33.110,2460713.658716551,1050281.4236323147,1002784.8539403462,1882758.8447306787,1.7926231982846152,1035190.1654609028,508918.3138409375,1020897.7102881218,0.9861934013192469
2025-02-07 03:52:43.580,2460713.661615509,1075457.6631802456,1091429.638582495,2151092.7420681897,2.000164967635429,268339.16247168253,321182.08641848573,671372.6741071269,2.5019556143914548
2025-02-07 03:54:19.993,2460713.6627314007,968610.6249744508,1112527.3116115795,2163216.46183257,2.2333189478379194,261173.56781833843,316300.4093770753,646992.9930301637,2.4772529564714043
2025-02-07 03:55:25.007,2460713.663483877,839397.8211414327,1088424.9554048874,2143451.5858682105,2.5535586725177524,251189.02917700907,315574.40227784833,659981.5222081292,2.6274297264115396
2025-02-07 03:56:30.042,2460713.6642365973,910323.4110525849,1094899.8432303877,2193286.3104592687,2.4093484621286683,247359.35860833141,306022.7194339462,642219.8565872401,2.59630304751934
2025-02-07 03:57:35.105,2460713.6649896414,965763.7490181499,1118224.46361784,2198601.514086677,2.2765417694771624,265533.57676202,318792.7785542972,681135.8118304687,2.565158877970921
2025-02-07 03:58:40.101,2460713.6657419098,989797.6500374452,1136476.6701200488,2120001.0636311164,2.1418529974797518,308769.19451466954,323855.25981678,674408.9404649591,2.1841846675313916
2025-02-07 03:59:45.015,2460713.666493229,846389.5313921314,1064055.7526184202,2191065.3259354862,2.588719785240784,244404.00905157626,313311.55671964015,641119.1175018366,2.6231939483715347
2025-02-07 04:00:50.174,2460713.6672473843,987019.3337038159,1143343.4748514085,2111539.9004010716,2.1393095639550066,287729.66887980816,345871.360855488,710257.8996053108,2.468490310264122
2025-02-07 04:01:55.277,2460713.6680008913,933195.9233335889,1144519.1602545828,2118587.9997149664,2.2702499515288133,266616.99836190004,324789.26813324785,672832.8431373456,2.5235931965000113
2025-02-07 04:03:00.205,2460713.6687523727,871331.1467850041,1113423.177900338,2178333.394479081,2.500006343761027,272571.819563534,328529.85197100765,668985.6270708501,2.454346264195942
2025-02-07 04:04:05.224,2460713.6695049074,890633.0843973766,1071407.83196264,2192319.5075424663,2.4615293839278847,252402.81121636482,316187.7684069456,637551.4191780346,2.525928360724606
