obs_date_time,JD,airmass,target_name,tmid,target_flux_red,flux_green,flux_blue,blue_over_red,comp_name,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2024-02-26 05:02:25.332,2460366.7100154166,1.006084,KELT-4,2460366.7809,22799612.985086653,20148070.079475496,24096096.7679148,1.0568642890419317,TYC 1973-1054-1,22799612.985086653,20148070.079475496,24096096.7679148,1.0568642890419317
2024-02-26 05:03:35.344,2460366.710825741,1.005618,KELT-4,2460366.7809,22990693.090255003,23072836.746181328,21764122.335113294,0.9466492484447278,TYC 1973-1054-1,22990693.090255003,23072836.746181328,21764122.335113294,0.9466492484447278
2024-02-26 05:05:55.344,2460366.7124461113,1.004743,KELT-4,2460366.7809,25276288.40985228,23138967.748175055,23183280.82570723,0.9171948210826226,TYC 1973-1054-1,25276288.40985228,23138967.748175055,23183280.82570723,0.9171948210826226
2024-02-26 05:07:05.484,2460366.7132579167,1.004338,KELT-4,2460366.7809,23244645.833458915,21427532.341808885,24729654.694770165,1.0638860609858676,TYC 1973-1054-1,23244645.833458915,21427532.341808885,24729654.694770165,1.0638860609858676
2024-02-26 05:08:15.344,2460366.7140664817,1.003971,KELT-4,2460366.7809,22111735.18919816,22677114.88721511,23273914.79816,1.052559403367384,TYC 1973-1054-1,22111735.18919816,22677114.88721511,23273914.79816,1.052559403367384
2024-02-26 05:09:25.341,2460366.7148766317,1.003614,KELT-4,2460366.7809,22532625.884345155,22667341.32597875,22504787.686252803,0.9987645382195914,TYC 1973-1054-1,22532625.884345155,22667341.32597875,22504787.686252803,0.9987645382195914
2024-02-26 05:10:35.387,2460366.7156873494,1.003271,KELT-4,2460366.7809,22068342.809480354,23983406.08263821,25341340.956693776,1.1483119133806174,TYC 1973-1054-1,22068342.809480354,23983406.08263821,25341340.956693776,1.1483119133806174
2024-02-26 05:11:45.344,2460366.716497037,1.002961,KELT-4,2460366.7809,23497356.139473267,22196979.864416145,20703563.825327788,0.8811018440729091,TYC 1973-1054-1,23497356.139473267,22196979.864416145,20703563.825327788,0.8811018440729091
2024-02-26 05:12:55.480,2460366.7173087965,1.002666,KELT-4,2460366.7809,21850894.34445507,21869967.0921262,20031788.28945378,0.9167491258561271,TYC 1973-1054-1,21850894.34445507,21869967.0921262,20031788.28945378,0.9167491258561271
2024-02-26 05:14:05.344,2460366.7181174075,1.002384,KELT-4,2460366.7809,21520118.294148628,22282817.634084165,23403522.04688872,1.087518280661691,TYC 1973-1054-1,21520118.294148628,22282817.634084165,23403522.04688872,1.087518280661691
2024-02-26 05:16:25.344,2460366.719737778,1.001893,KELT-4,2460366.7809,20234815.952014323,22408955.604305103,23965239.32932946,1.1843566744645277,TYC 1973-1054-1,20234815.952014323,22408955.604305103,23965239.32932946,1.1843566744645277
2024-02-26 05:17:35.361,2460366.72054816,1.001686,KELT-4,2460366.7809,16994145.007146847,23316772.483896993,22125021.027472638,1.3019202212390217,TYC 1973-1054-1,16994145.007146847,23316772.483896993,22125021.027472638,1.3019202212390217
2024-02-26 05:18:45.352,2460366.7213582406,1.001494,KELT-4,2460366.7809,24371189.406522498,23894468.24036902,23984736.52766602,0.9841430439684224,TYC 1973-1054-1,24371189.406522498,23894468.24036902,23984736.52766602,0.9841430439684224
2024-02-26 05:21:05.309,2460366.722978113,1.001172,KELT-4,2460366.7809,23076944.406752072,20491334.651280507,23522331.39296426,1.019300084896936,TYC 1973-1054-1,23076944.406752072,20491334.651280507,23522331.39296426,1.019300084896936
2024-02-26 05:23:25.310,2460366.7245984953,1.000929,KELT-4,2460366.7809,26153437.819044247,23872833.968656868,24418779.677949384,0.9336738002438926,TYC 1973-1054-1,26153437.819044247,23872833.968656868,24418779.677949384,0.9336738002438926
2024-02-26 05:24:35.345,2460366.725409086,1.000839,KELT-4,2460366.7809,25212472.90379081,21866261.71366654,21373094.5257907,0.8477190875860954,TYC 1973-1054-1,25212472.90379081,21866261.71366654,21373094.5257907,0.8477190875860954
2024-02-26 05:25:45.344,2460366.726219259,1.000773,KELT-4,2460366.7809,27613300.734166864,21713691.614568166,17838272.922835506,0.6460029206419214,TYC 1973-1054-1,27613300.734166864,21713691.614568166,17838272.922835506,0.6460029206419214
2024-02-26 05:26:55.343,2460366.727029433,1.000727,KELT-4,2460366.7809,19572859.991682258,20952903.103213906,22413219.2166661,1.1451172299904504,TYC 1973-1054-1,19572859.991682258,20952903.103213906,22413219.2166661,1.1451172299904504
2024-02-26 05:29:15.344,2460366.7286498146,1.000693,KELT-4,2460366.7809,23737849.204601347,24287092.1758544,20198654.19809235,0.8509049840192362,TYC 1973-1054-1,23737849.204601347,24287092.1758544,20198654.19809235,0.8509049840192362
